,date,token,price
123,2023-08-10,SWETH,1.0234656387296082
124,2023-08-09,SWETH,1.023683015347495
125,2023-08-08,SWETH,1.0236290448312113
126,2023-08-07,SWETH,1.0236325266889357
127,2023-08-06,SWETH,1.0236108883776365
128,2023-08-05,SWETH,1.023340982549103
129,2023-08-04,SWETH,1.0236840420831357
130,2023-08-03,SWETH,1.024190933064188
131,2023-08-02,SWETH,1.0233141228155624
132,2023-08-01,SWETH,1.0234662047773002
0,2023-12-11,STETH,0.9992685562121252
1,2023-12-10,STETH,0.9993283595040708
2,2023-12-09,STETH,0.9984940785542812
3,2023-12-08,STETH,0.9990549261856364
4,2023-12-07,STETH,1.00062805431308
5,2023-12-06,STETH,0.9975284611229672
6,2023-12-05,STETH,0.9985064229914328
7,2023-12-04,STETH,0.9992521189610029
