,block_number,date_yyyymmdd,hash,out_leg_frm,out_leg_to,out_leg_value,out_leg_asset,out_leg_asset_amt
1,18088709,20230909,0x15cdf671c4bb5d2126f78b8c323ffae9db3ffe822b01e19ad2cf23371a856a67,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,29,stETH,29.00397379139749
2,18089230,20230909,0x97b44aacb224baf8193797aa249e494cfaa435ff5c7676ec847ed9cf9ca8e006,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x6073e5f32f52a8242169a1a63c0e0a4c7cbc74dd,5,stETH,4.887993777169574
3,18089475,20230909,0x0d7ae72329f763fafc0c2066fd9aaa24335054f29bfe2a90f2d01c434a90862e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,14,stETH,13.601782230611962
4,18089609,20230909,0x1f75d5622ffc3124743c56217d2e860567ba508a74e1ed5958485d6b14524fa5,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,15,stETH,15.128939925184602
5,18089632,20230909,0xa15050e4e7fdf3c82780be402176fa84c923a31be5f6777f06d03a0e3725582b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,2,stETH,1.8162875797889173
6,18090017,20230909,0x3a2e0f6f41f82eb6113a843497ad9ce825e56d671468371539fb70c6f2b2c7bd,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x812c1e2ce48c2672b81b7711275df545cdf53655,1084,stETH,1084.0364383811325
7,18090091,20230909,0x76cdd3bdeb211c450b0b4aae1efaa9a2fa115d63a4bdc0edb665e09de1e2ec1a,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,4,stETH,3.7407212591258485
8,18090144,20230909,0xdef50ad6533763a98a1191e581797e50fd6c88620661a95eb646ce8c2ccf910d,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xa3501719d05dff02ecf1b11468e79f77ff210201,0,stETH,0.4015618164910955
9,18090174,20230909,0x4550ecde67390d4e3ec1997bacb69bcbc238814f50b5c1e877933aaf34ddbb67,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,6,stETH,5.501041425414719
10,18090580,20230909,0x4f3658cf9237384bdb364f05ccbc3060200a86dcbe67ae275161eeb1af857799,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x412efa7a426360224a664d7eefc05bbb17e4453b,36,stETH,36.445458750222265
11,18091022,20230909,0x2c67be9ac88cd223efe6b6377ba2a7d18d7ae2ab98176f1347e838dde644c63f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x5e51328c0583094b76f28cfd532abc3d454fcfea,90,stETH,90.36290632331809
12,18091342,20230909,0xc0e0c19309f97e68faa9b282678a8a78dec47b2dbdfd31c08bef5e9ae3bd321b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x412efa7a426360224a664d7eefc05bbb17e4453b,25,stETH,25.14451337859382
13,18091352,20230909,0xef3916eb333f45d14c07a80d23f54481df36053143762c01b4d108b9ed5cad6c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x412efa7a426360224a664d7eefc05bbb17e4453b,17,stETH,17.352835611520337
14,18091425,20230909,0x0c7003e77d46732f5fcf4a03fc825a136c8cc677023b78ac34286cc377b675ad,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x412efa7a426360224a664d7eefc05bbb17e4453b,12,stETH,11.981824875368543
15,18091927,20230909,0xfae8714324fa3318521d4dd5079add05ed719278427e0c9d214c691445adf03a,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,100,stETH,100.01392647409756
16,18092031,20230909,0x4bc5cacb14e921bd55569c66ac420b11b237088ca12a8527f22d3e8b5101c4aa,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x412efa7a426360224a664d7eefc05bbb17e4453b,8,stETH,8.300836511964349
17,18092033,20230909,0x11bddf75ab5c9ed25868e72bef14751b798ae13109ae29a91eca37b2eb3d6488,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x2fee07da03bfef78b3f0855395288a48137b5e4b,2,stETH,2.016661881772364
18,18092112,20230909,0x0e2cd70976e3ed674f3afca465ebc144e09a2b55d8f7178eed74b7d97c349ac0,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x412efa7a426360224a664d7eefc05bbb17e4453b,6,stETH,5.600533627028215
19,18092128,20230909,0x42ec35775f75d23d078a1250866ff7fe6185a36fa5eb477db8c685e48fcc7ecc,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xdcd4c1343b22dbba8e763417456713a7b6946b93,528,stETH,528.0945295587243
20,18092221,20230909,0x9e55ee21dc3be5278cb8148bbb91cc006d3dc8d12bacdf5ab548f4fb8c331ac6,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,227,stETH,227.0762945876106
21,18092295,20230909,0xfcd62b51e8294ccf3bea31c1fa7cb4d90038dd8699c36b3bd84e598932eb6550,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x07f36cf3c834e423536680f560b6bad0319f5411,3,stETH,2.8207022596896167
22,18092485,20230909,0xa07cdb4ccee6b1f9fd6135c06bf1e3f64e20ed2133b8ef43628c9947543192d3,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,45,stETH,45.01050594758183
23,18092559,20230909,0x51b608de7acdb06c140d16173f06ba60fead91ea0cf5a743e1a20b7e40ac2e9c,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xb342e8a3cf83eb2b4ec6d31a547e76c39dd0eb11,2,stETH,2.000431324859837
24,18092796,20230909,0x3a32c31c8a17e9e174ee4922f222dd4bdadbfcdb3ae4365bc40d425ce673b1c3,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,4,stETH,4.00138297089059
25,18092961,20230909,0x5bfb8cd296737087853575de2fe437c4cd3d8b6426e550d8e8f4a97f8972e3c3,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xb80465b4ad8610e8660255a7db35133d4dd84a28,0,stETH,0.20041018993643045
26,18093111,20230909,0x09f60f731ceedcfaf8f4b59778758603fd8c3018eb5b551af429e45a9e8191da,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,16,stETH,16.00593462636459
27,18093843,20230909,0xb56b9df47b4f02f0e9c17f35e733edca9a7f1109abed7e56ebd4840d3553d67f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,28,stETH,28.01139400496501
28,18093954,20230909,0x4d5befb3bbe65f5e70fdaab1c9c9826b406bdaf3af07f1ccb573b427529d8966,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,20,stETH,20.007774767987648
29,18094184,20230909,0x8e6bbda3f4c8b48b26a2aa734ce11bdc490f88c91fa31431637130a92411c5d5,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,8,stETH,8.003025022847059
30,18094360,20230909,0x9d3e74fd986115e26d6c28824bf531641be50403cca4e9c88deafd9c1bb4a21f,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,83,stETH,82.52836635761598
31,18094371,20230909,0x34eaf38978964a0872ef185d2b95f71868754fe37281be6a4c4949fb89ead0ab,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,87,stETH,86.64923394078735
0,18095358,20230910,0xd882baed24224ba1f7a8a33f7314951eb9f8ea1ec30c08795d6d3e9d078c1cc8,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,22,stETH,22.165292827097883
1,18095425,20230910,0x287d2bc9790b4576fefaf522ab7659c010f2333807cda72f242f31872cf973cf,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,150,stETH,150.00555932886158
